,Name,SMILES,Δ{v_m},Δ{α_P},Δ{κ_T},Δ{ε_r},Δ{ΔH_{vap}},SEM(Δ{v_m}),SEM(Δ{α_P}),SEM(Δ{κ_T}),SEM(Δ{ε_r}),SEM(Δ{ΔH_{vap}}),EIE{v_m},EIE{α_P},EIE{κ_T},EIE{ε_r},EIE{ΔH_{vap}},SEM(EIE{v_m}),SEM(EIE{α_P}),SEM(EIE{κ_T}),SEM(EIE{ε_r}),SEM(EIE{ΔH_{vap}}),Classical(n_H),SEM(Classical(n_H)),m_W,Classical(ρ),SEM(Classical(ρ)),Classical(v_m),Classical(α_P),Classical(κ_T),Classical(ε_r),Classical(ΔH_{vap}),"PI,H(v_m)","PI,H(α_P)","PI,H(κ_T)","PI,H(ε_r)","PI,H(ΔH_{vap})","PI,D(v_m)","PI,D(α_P)","PI,D(κ_T)","PI,D(ε_r)","PI,D(ΔH_{vap})",SEM(Classical(v_m)),SEM(Classical(α_P)),SEM(Classical(κ_T)),SEM(Classical(ε_r)),SEM(Classical(ΔH_{vap})),"SEM(PI,H(v_m))","SEM(PI,H(α_P))","SEM(PI,H(κ_T))","SEM(PI,H(ε_r))","SEM(PI,H(ΔH_{vap}))","SEM(PI,D(v_m))","SEM(PI,D(α_P))","SEM(PI,D(κ_T))","SEM(PI,D(ε_r))","SEM(PI,D(ΔH_{vap}))"
76,propanenitrile,CCC#N,1.82258089139966,12.126685615190581,6.261029823314151,-2.6690594729999444,-1.9948423901977645,0.014788736144809888,1.3177798515074162,1.271275066195683,2.760100376951169,3.397914370765724,0.6456793716836167,4.950684333811377,-0.20012488048823218,0.19861871275311732,-4.848961155823256,0.026743549010375414,2.8490664601282627,1.9568454636109989,2.233206252085029,2.485315188206889,0.07497685112572942,4.696947709916106e-06,6.115799906666666,0.8253781544104137,5.170606625866164e-05,66.73237031315583,1.145895597307375,0.7750628128185926,22.520294770763982,39.96817629602219,67.97120042373376,1.3040313835089223,0.8268309448649791,21.9348408238671,39.18646802072351,67.53513995639764,0.0012425182282387556,0.8284889574008357,21.89136048546672,41.18343687754884,0.004180714141992512,0.013792682662158455,0.0051459058735626355,0.4267879903097716,0.09460398240288831,0.0064639759995901306,0.007247785660617281,0.006481010291875249,0.303636111277404,0.9391492416312313,0.01201360631626063,2.576620135137166e-05,0.01048290412477566,0.27180725366297925,0.18233762211137547
77,"N,N-dimethylacetamide",CN(C)C(C)=O,2.0566173513633488,0.25989878498707225,10.416666644980666,-0.8190733807350598,-1.029309643904221,0.010357363162744375,7.707630128949406,1.4088418835232142,2.3231329528249796,3.961529230277955,0.8033808723413546,-5.8100181931635095,10.781560788371312,-2.857785714112489,2.321961148094837,0.015545410345657843,7.018877996523393,4.018224269793204,3.263586404092469,3.7642915482116863,0.0995953004664257,5.821450189799753e-06,5.8045609272,0.9635116493669309,5.631827051892111e-05,90.42091079045446,0.9867502819125957,0.5954223357523685,17.38774095276704,49.694444690707456,92.31957110857769,0.9893215165136303,0.6646574909115135,17.24647962901191,49.18814635660124,91.58380434232889,0.001050346860181497,0.5999712282274346,17.753846518523737,48.07193470950892,0.005285264502880437,0.02439505216040118,0.0061837675333678305,0.21786949037269648,0.18756625281616768,0.005634509702881124,0.05108541152156447,0.004972173145204235,0.23776063610020753,1.3714721572828212,0.009333182583349984,3.325727725462177e-05,0.018554840840268004,0.3607452286393274,0.879611280071582
78,N-methylformamide,CNC=O,1.5691152555565029,4.548304937206616,4.221553303311081,1.012622062072945,1.246564690542309,0.024954951464421317,4.629262944579826,4.372004696178128,3.57304711782476,3.1391076590049405,0.5175818157071564,1.4573380587981568,2.1359236710503056,4.76669534735732,2.7422049153276333,0.023806684258201264,5.260178422192697,4.65617215216134,3.028086656933358,2.831979642492743,0.09124139561478288,2.9200722522330373e-06,6.559679308888889,1.0773257308711859,3.4478527560180536e-05,54.828208859100386,0.8533567956607586,0.3724001300478226,24.627657450690656,55.425078831534805,55.70224122383039,0.8940195300873112,0.3888141256113068,24.87959370550673,56.12470964463421,55.415421081216465,0.0008811777907766463,0.3806830267316742,23.747617143995658,54.62673269557331,0.00175460278672291,0.021452608596616723,0.0018218067993402724,0.8121879471677146,0.09082666547073859,0.00975049637615457,0.025026278125678442,0.011950859034007505,0.25553856779078615,1.2441348036148023,0.006355239596120622,2.8153385587705177e-05,0.009615782226956169,0.5011361698067367,0.6994459312739308
79,"1,3-dichloropropane",ClCCCCl,1.0134759531821613,4.171467109626136,4.260404060844575,-1.2743465971373802,-2.9232462903933922,0.016894550585765795,3.483365315133552,1.6220207405640095,1.6216664256987052,2.574176375632505,0.3491856372850964,-1.5460942478663775,3.537743443082694,-1.3586421578177328,-0.30105343845566945,0.019007243190094305,4.079065662654275,2.688694020515346,1.4443261674219623,4.461466010052545,0.06539957794888679,2.806559640932673e-06,10.180423231999999,1.2206248683087102,5.2381935779331694e-05,92.56409856762687,0.9709795423191054,0.6514624630915092,6.433433194393793,43.97740915759999,93.51181836008976,1.0132467992908634,0.680452488545625,6.352480574360615,42.728354130533035,93.18642474896689,0.0010291585605976886,0.6572023553127627,6.4399768143135665,42.85737773985079,0.003972259867142822,0.016703551501568707,0.005501487068664268,0.048763855147605374,0.19083217200469407,0.010812276359053517,0.021985615448837367,0.006765751468315061,0.064165379650179,0.7659536952365856,0.00997522986325758,2.4747570201922295e-05,0.012019610515964351,0.04637329781649387,1.2343695862550743
80,"1,1-dichloroethane",CC(Cl)Cl,1.0847727928391855,7.859833361073117,3.8229675442287863,-1.122387624416878,0.634284399685326,0.01574172141695313,3.768736261345904,1.5332457611543853,2.028155007897627,2.0010596996176586,0.3760655403718143,1.8567351154220184,-1.1776805678954705,0.912918763660956,5.778781393068768,0.008698741914540065,3.596343279446451,4.737213953127537,1.7428483020473682,4.173808645545354,0.04850230787587967,5.168616129541381e-06,12.246125686,1.1879307166181803,0.00012659104549010122,83.30381729087041,1.1924719134743276,1.0130513241750878,5.757856449459753,32.1814515984978,84.21738456547746,1.2941933545088016,1.053319382297388,5.6939482786396045,32.38687650370616,83.90185858759801,0.001270601647541763,1.0658719491208328,5.642437408806782,30.617554936049146,0.00887733580700758,0.017631461085041898,0.0029098444705132325,0.04864961520697016,0.08327321910181859,0.006962327643584531,0.03215669666268136,0.011232864518188569,0.0740585231582483,0.45446353448236704,0.0016115388520112637,2.3793453790040617e-05,0.03437755397867992,0.04670810249375743,0.9002041142461786
81,pentan-3-amine,CCC(N)CC,2.8101887231804716,6.889282200812837,13.105790432756868,-7.541427876928563,-8.022862716925092,0.028489415231779117,5.811209069792778,2.1897708911877105,1.0331638992222882,2.8304963936070475,1.1256698485318823,-3.551341624296959,6.076988618618261,-3.132092061713466,-4.882938388563039,0.027605801057734407,5.385472724420363,1.6120193434554309,1.198895679164619,3.630668297456634,0.1218770568000631,1.0714448470532076e-05,4.584463127157894,0.8166212758447642,7.179076037528956e-05,106.73853914839327,1.1138667428112752,0.6755393110595072,3.8793359529322298,48.09753296405589,109.82482396675996,1.1962819846513943,0.7774273043323338,3.607294444120436,44.525327096816454,108.60232039130901,0.0012403303527472984,0.732889681783333,3.7239314040090585,46.81108346124802,0.009384527855111445,0.018540278866955893,0.0041118801896223136,0.009973231256376397,0.2830187168131417,0.02110565976598735,0.04737653722873961,0.01168128466741497,0.025392249728865727,0.8683967090554373,0.015390477722862927,3.087151630703057e-05,0.003209797002978836,0.024754766904564008,0.9641513915932958
82,acetyl_acetate,CC(=O)OC(C)=O,1.628077391625503,10.996436105916223,6.713207954613606,-2.988072536638469,0.06694713954763461,0.026516248554378872,2.524460632947302,4.571701507756066,2.7253114321734926,3.205428239056373,0.5930628717007144,6.818927623468634,3.6184619783180096,-3.9109412583175422,2.45463674301311,0.024080230321793218,3.3442224200744337,4.667419859564706,2.5925328929088356,4.886031794949514,0.0617684767479082,6.43788139590633e-06,7.848591850153847,1.050390386933441,0.00010947799082169624,97.19228640749802,1.1033166734747641,0.7847318898406253,67.32180383207103,55.81517625893492,98.80084055531506,1.23963201607043,0.8412036394807458,65.36854431188718,55.852567955545055,98.21834402371115,0.0011604984656278059,0.8118279536486136,68.0291233652505,54.51443656536503,0.010128421416956272,0.011783578858665473,0.0051065805043203965,1.2714349665138962,0.16712644355134365,0.017084565678374786,0.020499549960712057,0.026952627481634104,0.8823782037661777,1.2604151931982077,0.011707938732004725,2.5479135414131007e-05,0.02018787046616339,1.0230885173452193,1.711527662811555
83,methanol,CO,2.5193210432026962,18.205645041633844,11.596890812201574,-6.261326619638164,-3.3439497456132674,0.017196154555677655,4.477506736212371,2.8780126953945033,1.431890706103325,3.137629434335546,0.9372714637366614,5.823586413261093,7.591364847420749,-1.3501613009340445,-0.14772513833884243,0.016706012517046828,4.372971077411875,2.4090087572244294,1.5010552344111263,4.148737487827717,0.09827481109674739,4.4148007900647575e-06,5.337702458,0.7868425511258914,3.53473395430635e-05,40.72245476320043,1.3157907103391258,1.2148332059269227,18.526381434439845,32.08109351426643,41.77489857374538,1.60865711455133,1.3741973750563474,17.434735687758657,31.043030185352677,41.386990125598636,0.001520130973702989,1.2772376082459285,17.67335448053169,31.088956389186706,0.0018293251958400342,0.045707822508002156,0.008045014602421704,0.1286764036517577,0.05777354545345776,0.004912167138114123,0.03936234842178863,0.02738107572683171,0.1512707641579911,0.687520155836862,0.00350541975865213,4.122608863733637e-05,0.013156499091120396,0.15100773085432292,0.7700605672164528
84,acetonitrile,CC#N,1.494060616828421,10.491254037742166,4.714156915538472,-1.8121496833409931,-0.9790525936922634,0.02028707739050812,2.9061197905272462,2.04337087050402,1.6757340756580956,2.611071671335743,0.47852257894279243,-5.487276529604036,-0.5334089293352708,-1.8428350427869846,-4.018458576682318,0.017739255680729656,4.910376074658304,3.891867978929155,2.1112267668698506,2.0223229819345114,0.05914971550530449,4.931223115255062e-06,6.837758182666666,0.8089029023976023,6.743702241378061e-05,50.75091303833928,1.1624658718599195,0.8054466774202099,26.493113326474038,36.0095678708874,51.52066297335305,1.298717638553537,0.8452952205148258,26.021563643311396,35.66043347205732,51.275299089787964,0.0013741193681296592,0.8498282804467451,26.51010107581476,37.15342861059116,0.004231310621920577,0.017266252141427307,0.002053968912417425,0.19218788931169847,0.19618602759075587,0.006757998337227833,0.02373138233823346,0.012126851018291189,0.2767718773349243,0.643620432264655,0.004350733515833691,4.185498356484305e-05,0.02162409558222228,0.3355662065795291,0.23004094191469804
85,bromomethane,CBr,1.448757754123209,14.329700035046114,2.849187730285779,-0.10080867686920847,-1.797772361789168,0.0328001912926541,3.659294338094844,2.7972997063308784,1.255418314528536,3.8040789839812663,0.5228207740171151,0.11884214130639267,1.1553782817521145,-0.5966007870774876,-0.8960538631778323,0.029034396713537768,4.347923255697731,2.256885456946049,0.8292303916355442,3.5570690257137323,0.0532653464981501,7.153388504527131e-06,18.7883624392,1.667947725761361,0.00022400075981910433,56.9195447015232,1.509057070300965,1.4548721033179677,6.029483595810682,23.069285377105622,57.75629348183545,1.761470510688409,1.4975398242465434,6.02341147440095,22.661876426055187,57.455902089810984,0.001759379626266845,1.4804351974992234,6.059562874201894,22.866775047250258,0.007643244709669232,0.02935054514812836,0.006605054091853727,0.04546336760651437,0.08836094673292985,0.01225688718842422,0.04057893980149283,0.02925065887146084,0.04272772520046602,0.6063690372011956,0.008092419164676384,4.592917011713243e-05,0.011972623680181255,0.01829125560759258,0.3755739092920472
